No,大区分,区分,活動手法,概要
12,森林,森林（⾥⼭林）,主伐/間伐,⾥⼭資源の継続的利⽤を維持するための定期的な伐採・保育を⾏うとともに、林床の植物を保護し、天然更新を図るためシカ⾷害を防⽌する。
13,森林,森林（⾥⼭林）,里山資源の利用,⼩⾯積皆伐により若い林が混じるモザイク状の⾥⼭林をつくることで、ナラ枯れ被害を受けにくくし、明るい環境を好む⽣物相を保全する。資源利⽤の実態や樹種構成により広葉樹⽤材林への誘導を図る。
14,森林,森林（⾥⼭林）,松くい虫被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
15,森林,森林（⾥⼭林）,ナラ枯れ被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
16,森林,森林（⾥⼭林）,外来カミキリムシ被害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
17,森林,森林（⾥⼭林）,その他森林病虫害の防除,森林病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
18,森林,森林（⾥⼭林）,侵入竹の対処,継続的に侵⼊⽵を除去する。
19,森林,森林（⾥⼭林）,竹林の管理,⽵林の伐採等により管理する。
20,森林,森林（⼈⼯林）,植栽,⾥⼭資源の継続的利⽤を維持するための定期的な伐採・保育を⾏うとともに、林床の植物を保護し、天然更新を図るためシカ⾷害を防⽌する。
21,森林,森林（⼈⼯林）,播種,⾥⼭資源の継続的利⽤を維持するための定期的な伐採・保育を⾏うとともに、林床の植物を保護し、天然更新を図るためシカ⾷害を防⽌する。
22,森林,森林（⼈⼯林）,面的な管理,（⺠有林の場合）地域森林計画の対象となっている森林においては、市町村森林整備計画に適合した森林の経営管理を⾏う。（国有林の場合）国有林の地域別の森林計画等に適合した森林の経営管理を⾏う。
23,森林,森林（⼈⼯林）,森林施業(関係法令等に基づく基準等の遵守)(必須事項),"（⺠有林の場合）地域森林計画の対象となっている森林においては、市町村森林整備計画に基づく森林施業を実施する（適時適切な施業の実施等）。（国有林の場合）国有林の地域別の森林計画等に基づく森林施業を実施する（適時適切な施業の実施等）。渓畔林や崩壊のおそれのある箇所を保護樹帯として存置する（伐採をしなければならない場合は、⽣物多様性保全に配慮した伐採・更新の実施）。保護樹帯や保残⽊に架線や集材路を通す場合は影響を最⼩限にとどめる。管理区域内における絶滅危惧種等の⽣育・⽣息情報を収集する。
"
24,森林,森林（⼈⼯林）,森林施業(自然条件等の状況に応じて取り組む事項(推奨事項)),⻑伐期化を図る。帯状⼜は群状に伐採すること等により複層林を造成する。下刈りや除間伐は、植栽⽊の⽣育を阻害しない範囲で侵⼊した広葉樹を保残する。袖群落を残す。保残⽊、枯損⽊（倒⽊や⽴ち枯れ⽊）や樹洞⽊は作業の安全性の確保等⽀障とならない範囲で残す。植栽に必要な最⼩限の刈り払いや整地にとどめる。採取地が明らかな種苗の植栽、播種　　⽔源域においては⽣分解性チェーンソーオイル等の使⽤する。
25,森林,森林（⼈⼯林）,松くい虫被害の防除,森林病⾍害（松くい⾍、外来カミキリムシ等）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）　　　　　　②他樹種栽　多様な森林環境を阻害する外来⽣物等を管理する（例︓モウソウチクなどの⽵類の伐採）。
26,森林,森林（⼈⼯林）,外来カミキリムシ被害の防除,森林病⾍害（松くい⾍、外来カミキリムシ等）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）　　　　　　②他樹種栽　多様な森林環境を阻害する外来⽣物等を管理する（例︓モウソウチクなどの⽵類の伐採）。
27,森林,森林（⼈⼯林）,その他森林病虫害の防除,森林病⾍害（松くい⾍、外来カミキリムシ等）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）　　　　　　②他樹種栽　多様な森林環境を阻害する外来⽣物等を管理する（例︓モウソウチクなどの⽵類の伐採）。
28,森林,森林（⼈⼯林）,主伐/間伐,多様な樹種や齢級で構成された森林づくりのため計画的な伐採を⾏う。帯状⼜は群状に伐採すること等により複層林を造成する。強度間伐により広葉樹の侵⼊を期待する⽅法や⼩⾯積皆伐とその後の天然更新の状況のモニタリングを組み合わせて実施する。
29,森林,森林（⼈⼯林）,播種,"遺伝的攪乱の防⽌に配慮し、採取地が明らかな種苗の植栽、播種する。
"
30,森林,森林（⼈⼯林）,植栽,"遺伝的攪乱の防⽌に配慮し、採取地が明らかな種苗の植栽、播種する。尾根筋など斜⾯の上側には、⺟樹（種
⼦供給源）となる広葉樹を保全・育成する。"
31,草原・草地,自然草原,景観変化の把握,⾃然草原の景観の変化を巡視やドローン等により把握する。
32,草原・草地,自然草原,保護区の設置,保護対象の植⽣の範囲を⽊枠や柵等で囲う。
33,草原・草地,自然草原,遊歩道・登山道等の維持管理,踏圧の影響が懸念される場所において は、遊歩道・登⼭道沿いにロープ柵等を設置する。登⼭道の浸⾷の影響が懸念される場所においては、近⾃然⼯法等を活⽤し、浸⾷防⽌策を講ずる。
34,草原・草地,⼆次草原・草地,草刈り,刈払機などにより成⻑した草を刈り払う。
35,草原・草地,⼆次草原・草地,火入れ,野草地に⽕を⼊れて焼く。
36,草原・草地,⼆次草原・草地,放牧,家畜を放牧する。
37,草原・草地,⼆次草原・草地,保護区の設置,保護対象の植⽣の範囲を⽊枠や柵等で囲う。
38,草原・草地,⼆次草原・草地,遊歩道・登山道の維持管理,踏圧の影響が懸念される場所においては、遊歩道・登⼭道沿いにロープ柵等を設置する。登⼭道の浸⾷の影響が懸念される場所においては、近⾃然⼯法等を活⽤し、浸⾷防⽌策を講ずる。
39,農地,水田,化学農薬及び化学肥料の低減・不使用の取組,化学農薬及び化学肥料を使⽤しない⼜は地域の慣⾏使⽤量から低減し、⽔⽥における環境への負荷を減少させることで⽣物多様性を保全する。
40,農地,水田,冬期湛水,栽培期間外に⽔栓を閉める、取⽔する等により⽔⽥を湛⽔⼜は湿地状態にする。（秋の収穫後から春の代掻きまで）
41,農地,水田,中干し延期、非実施,⽔稲の栽培期間中に⽔⽥の⽔を抜いて⽥⾯を乾かす「中⼲し」の実施時期を幼⽣期に⽔を必要とする⽣物が変態等するまで遅らせる、⼜は実施しない。
42,農地,水田,水田内に江等を設置,⽔⽥内に、江、深い溝、ビオトープを設置し、中⼲し期間中、湛⽔する。なお、通年での湛⽔が望ましい。
43,農地,水田,除草剤等を使用しない畦管理(草刈り),除草剤等を使⽤せず、草刈りによって畔を管理する。
44,農地,水田,ビオトープ、江等の設置,中⼲し時期等の通常⽔がない時期にも常時湛⽔状態を保つ場所を設置する。
45,農地,水田,水田魚道の整備、維持管理,排⽔路と⽥んぼ間に⽔⽥⿂道をつくり、⽥んぼと⽔路を繋ぐ。除草・泥上げ等の⿂道の管理を⾏う。
46,農地,水田,スロープ水路の設置,⽔路底⾯から⽔路上部にかけて、ゆるやかな斜⾯を形成することにより脱出⽤スロープを設置する。
47,農地,水田,農業水路と河川の接続部における落差の解消,農業⽔路と河川本流の接続部において落差がある区間に河川や⽔路管理者と連携して⿂道を設置する等により、落差を解消する。
48,農地,水田,魚巣ブロックの整備、維持管理,⽔路壁や⽔路内部に⿂類の隠れ場となる空間を持つ構造物を設置し、必要な維持管理を⾏う。
49,農地,水田,泥、砂上げ,⽔路内に溜まった泥や砂があれば、定期的に除去し、深みを確保する。
50,農地,水田,かいぼり(池干し),ため池の⽔を抜いて⼲し、底にたまった泥を取り除いて、ため池にひび割れや⽔漏れがないか等を点検する。同時に、ため池に⽣息する外来種の捕獲やため池内に捨てられたごみを回収する。
51,農地,水田,復田,遊休農地化、荒廃農地化された⽔⽥を再度⽔⽥として整備して利⽤する。
52,農地,水田,里山林又は草地への転換,⼟地の形状や⽔源の状況を考慮したうえで、⾥⼭林へ転換、⼜は繁茂する樹⽊や
53,農地,水田,ビオトープ、湿地化,"稲の作付を⾏わない荒廃農地等において、⽔を張りビオトープとして整備する。ヨシやササなどの繁茂が著しく、他の植物
等に悪影響を与えている場合は重機を⽤いて除去し、⼟地の形状や⽔源の状況を考慮したうえで⽔回しを⾏い湿地として整備する。"
54,農地,畑・果樹園・牧草地,化学農薬及び化学肥料の低減・不使用の取組,化学農薬及び化学肥料を使⽤しない⼜は地域の慣⾏使⽤量から低減し、畑地における環境への負荷を減少させることで⽣物多様性を保全する。
55,農地,畑・果樹園・牧草地,緑肥の作付け(カバークロップ、リビングマルチ),主作物の栽培期間の前後のいずれかにカバークロップ（緑肥）を作付けする。主作物の畝間に緑肥を作付けする。
56,農地,畑・果樹園・牧草地,草生栽培,果樹にあわせて地表に下草を育成する。
57,農地,畑・果樹園・牧草地,再農地化,遊休農地や荒廃農地化した農地を再度農地として整備して利⽤する。⽣物多様性を増進する農法を実施する。
58,農地,畑・果樹園・牧草地,草地への転換,繁茂する樹⽊やつる植物は選択的に除去し、放牧等の粗放的な利⽤によって草地と
59,農地,畑・果樹園・牧草地,里山林への転換,"在来樹種の定着を妨げるササを刈り取り後、在来樹⽊の種⼦を播種する。上記に加え、動物避け柵の設置、落葉
落枝の除去などを組み合わせる。"
60,緑地,創出緑地,保全エリアの設置,侵⼊防⽌柵や歩道の設置により、保全エリアへの⽴⼊を制限する。
61,緑地,創出緑地,化学農薬及び化学肥料の低減・不使用の取組,化学農薬及び化学肥料を使⽤しない⼜は低減し、緑地環境への負荷を減少させることで⽣物多様性を保全する。
62,緑地,創出緑地,病虫害の防除,病⾍害（松くい⾍、ナラ枯れ及び外来カミキリムシを含む）の防除を実施する。①被害⽊の伐倒駆除（くん蒸処理、焼却、破砕等）②他樹種植栽
63,緑地,創出緑地,樹木の植栽,さまざまな⾼さ、種類の樹⽊を選定し、植栽する。実のなる⽊や昆⾍類の⾷草を植栽。林内⽣育種の種（どんぐり等）からの苗を育成し、植栽する。
64,緑地,創出緑地,草地の創出,客⼟を⼊れ、チガヤ等の各種の在来の植物を中⼼とした植栽⼜は播種を⾏う。施⼯後は⼗分な潅⽔による養⽣を⾏う。種⼦の発芽と⽣育およびチガヤ等の根茎の活着が確認された後は、冠⽔や年に１回程度の刈り取りによる維持管理を継続する。
65,緑地,創出緑地,池、水路の創出,遮⽔シートを敷き、⼟を⼊れて、⽔⽣植物の⽣育基盤をつくる。⽳を掘り、遮⽔シートを敷き、砂をまき、必要な場合は⽯を積み、⽔を張る。池の周囲に在来の樹⽊を植栽する。⽔⽣植物の移植、苗⽊の植栽を⾏う。
66,緑地,創出緑地,樹木の択伐,常緑樹や樹勢の弱った⼤径⽊を伐採し、林内に光があたる場所をつくる。
67,緑地,創出緑地,下草刈り,⼟を削らないように地際で刈り取りする。刈り取った下草は他の植物の⽣育を阻害しない場所に集積、⼜は林外搬出する。
68,緑地,創出緑地,落ち葉かき,落ち葉や枯れ枝を熊⼿などで集め、林内の植物の⽣育を阻害しない場所に集積、⼜は搬出する。
69,緑地,創出緑地,枯損木の残置,枯れ⽊や林内で発⽣した倒⽊を撤去せず、そのまま残す。
70,緑地,創出緑地,竹林の管理,⽵の択抜、タケノコ掘りによって⽵林を管理する。
71,緑地,創出緑地,樹木の植栽,さまざまな⾼さ、種類の樹⽊を選定し、植栽する。実のなる⽊や昆⾍類の⾷草を植栽。林内⽣育種の種（どんぐり等）からの苗を育成し、植栽する。
72,緑地,創出緑地,草刈り,定期的な草刈りを実施し、多様な草丈の草地を維持する。
73,緑地,創出緑地,草地の回復,踏圧等によって硬くなった⼟壌をほぐす。草を刈り残す場所を作る。⽴ち⼊れないエリアを作る。
74,緑地,創出緑地,水草の草取り,過剰繁茂した⽔⽣植物を抜き取る。抽⽔植物はできるだけ地下茎ごと抜き取り。難しい場合は、⽔⾯下で刈り取る。刈り取った植物は搬出する。
75,緑地,創出緑地,泥上げ,池の底に溜まった泥を数年に⼀回除去する。泥とともに採取した在来種は池に戻す。捕獲した外来種は駆除する。
76,緑地,創出緑地,かいぼりの実施,事前の⽣物調査から、保護対象種と駆除対象種を選定する。⾃然排⽔、ポンプによる強制排⽔により池の⽔を抜く。⽣物を捕獲し、侵略的外来種は駆除する。底泥の天地返しを⾏い、残った根も伐根する。
77,緑地,創出緑地,外来種等の放流防止対策,看板等を設置し、地域外からの外来種等の放流を防⽌する
78,緑地,創出緑地,エコトーンの整備,護岸際に⽔深が徐々に深くなるエコトーン移⾏帯）を作ることで、多様な在来の⽔⽣植物が⽣育できる基盤を整備する。
79,緑地,創出緑地,水生植物の導入・生育基盤の創出,"池の⼀⾓を仕切り、遮⽔シートを敷き、⼟を⼊れて、⽔⽣植物の⽣育基盤をつくる。周辺の⽔辺地の⼟やガマ類やヨシの根茎
を採ってきて導⼊する。"
80,河川・湖沼,河川・湖沼,景観変化の把握,河川の景観の変化を巡視やドローン等により把握する。
81,河川・湖沼,河川・湖沼,清掃活動,ごみの流⼊の防⽌・除去のため、河原のごみを回収する。河川や湖沼に浮遊、堆積するごみを回収する。
82,河川・湖沼,河川・湖沼,水草刈り,過剰に繁茂した⽔⽣植物（ハス、ヒシ、ヨシ、オオカナダモ等）の植物体の適切な刈り取りを⾏う。
83,河川・湖沼,河川・湖沼,河川構造物の維持,⿂道、バーブ、ワンド・たまり等を適切に維持し、連続性と流れの速さや深さが異なる多様な流れを確保する。
84,河川・湖沼,河川・湖沼,河床の耕耘,⽯をひっくり返したり、川を歩いたり耕したりすることにより、河床の砂礫につく藻類及び河床の粒径を更新する。
85,河川・湖沼,河川・湖沼,魚道等の整備,⿂道等の整備により落差を軽減する。⽼朽化や洪⽔、河床低下等による機能低下や破損した⿂道等は修復する。⿂道の堆積⼟砂、流⽊及びごみ等の撤去等を⾏う。
86,河川・湖沼,河川・湖沼,水制工の設置,川の岸から⽯積み等の⽔制を設置する。
87,河川・湖沼,河川・湖沼,ワンド・たまりの整備,地域に存在するワンドやたまりを造成する。
88,河川・湖沼,河川・湖沼,石倉や木工沈床の設置,⽯倉カゴや⽊⼯沈床などの⼯作物を河道内へ設置する。
89,河川・湖沼,河川・湖沼,河畔林の保全,都道府県の環境調査や、地元団体による環境調査結果を踏まえ、エリア分けを実施し、環境特性の⾒える化を図る。河道内樹⽊が流下を妨げるか否かを樹⽊医等と検討し、伐採を最⼩限にとどめる。
90,河川・湖沼,河川・湖沼,火入れ・草刈り,⽕⼊れ、草刈りにより草地・湿地環境を維持する。
91,河川・湖沼,河川・湖沼,ダムのフラッシュ放流,ダム放流により川の営⼒を利⽤し攪乱する。
92,河川・湖沼,河川・湖沼,環境に配慮した護岸の整備,河川の護岸整備の際に、緩やかに傾斜した断⾯構造を持つ緩傾斜護岸を設置する。緩傾斜護岸にの覆⼟を施⼯する。岸辺に⼟砂を搬⼊し整地する。⽔中カバー（⽔際のヤナギ、草本、倒⽊、岩陰等）を設置する。
93,河川・湖沼,河川・湖沼,湿地の植生、湿潤環境の維持,植⽣管理として⾏われる⽕⼊れや治⽔等の⽬的による掘削などの維持管理を⾏う。
94,河川・湖沼,河川・湖沼,湿地の湿潤環境の回復,⾼⽔敷の掘削を⾏う。⾼⽔敷上に窪地や⽔路などを整備する。遊⽔地の掘削を⾏う。
95,河川・湖沼,河川・湖沼,湖底の耕耘,⼈⼒による浅い場所の⽔草除去および湖底耕転の実施する。⼩型船で⾙曳き漁具を曳航し、⽔草除去および湖底耕転の実施する。
96,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,景観変化の把握,湿原の景観の変化を巡視やドローン等により把握する
97,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,遊歩道・登山道の維持管理,踏圧の影響が懸念される場所においては、遊歩道・登⼭道沿いにロープ柵等を設置する。登⼭道の浸⾷の影響が懸念される場所においては、近⾃然⼯法等を活⽤し、浸⾷防⽌策を講ずる。
98,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,草刈り,ヨシ等の刈り取りおよび除去を⾏い、湿地の乾燥化を予防する。貧栄養の⽔質と光環境を保つため、湿地全域について枯れ植物体の刈り払い、撤去を⾏う。
99,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,樹木の伐採,湿地に侵⼊した樹⽊を定期的に伐採する。
100,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,湿地の流入部への沈砂池の設置・維持管理,⽔路等の湿地の流⼊部に沈砂池を設置する。設置される沈砂池を適切に維持管理する。
101,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,堆積土砂の除去,堆積⼟砂を除去する。
102,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,水路構造物の改変や管理等,直線化された⽔路を埋め戻し、⾃然に近い曲がりくねった形状に変更する。排⽔路の埋め戻しにより、湿地の⽔分を維持する。新たな⽔路の造成により、流⼊する⽔分量を増やす。湿原内に堰堤を設け、⽔を湿原全体に流⼊するようにする。⽔の流⼊を妨げているダムやその他の⽔制御構造物を撤去する。
103,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,遊歩道・登山道の維持管理,踏圧の影響が懸念される場所においては、遊歩道・登⼭道沿いにロープ柵等を設置する。登⼭道の浸⾷の影響が懸念される場所においては、近⾃然⼯法等を活⽤し、浸⾷防⽌策を講ずる。
104,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,草刈り,ヨシ等の刈り取りおよび除去を⾏い、湿地の乾燥化を予防する。貧栄養の⽔質を保つため、湿地全域について枯れた植物体刈り払い、撤去を⾏う。
105,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,樹木の伐採,湿地に侵⼊した樹⽊を定期的に伐採する。
106,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,緩衝帯の設定,農⽤地等と湿原が直接隣接する箇所のうち、湿原の地下⽔位に影響を及ぼしていると推察される農⽤地等の側に緩衝帯（幅25m等）を設定する。
107,湿原・湿地,⾼層湿原・中間湿原・湧⽔湿地,隣接する森林再生,天然更新、⼈⼯植栽等の適切な⽅法により森林を再⽣する。
108,湿原・湿地,低層湿原・湿地,遊歩道の維持管理,踏圧が確認されている場所においては、遊歩道沿いにロープ柵等を設置する。遊歩道が浸⾷されている場所においては、近⾃然⼯法等を活⽤して浸⾷を防⽌する。
109,湿原・湿地,低層湿原・湿地,堆積土砂の除去,泥炭地⼟壌の上に堆積している⼟壌を除去⼜は掘削する。
110,湿原・湿地,低層湿原・湿地,草刈り,ヨシ等の刈り取りおよび除去を⾏い、湿地の乾燥化を予防する。貧栄養の⽔質と光環境を保つため、湿地全域について枯れた植物体の刈り払い、撤去を⾏う。
111,湿原・湿地,低層湿原・湿地,火入れ,⽕⼊れにより⼈為的攪乱を⾏い、植⽣遷移を退⾏させる。ヨシ等を除去することで、湿地の乾燥化を予防する。
112,湿原・湿地,低層湿原・湿地,樹木の伐採,湿地に侵⼊した樹⽊を定期的に伐採する。
113,湿原・湿地,低層湿原・湿地,水路の整備、堰の設置、その他の水制御構造物の管理等,直線化された⽔路を埋め戻し、⾃然に近い曲がりくねった形状に変更する。排⽔路の埋め戻しにより、湿地の⽔分を維持する。新たな⽔路の造成により、流⼊する⽔分量を増やす。湿原内に堰堤を設け、⽔を湿原全体に流⼊するようにする。⽔の流⼊を妨げているダムやその他の⽔制御構造物を撤去する。
114,湿原・湿地,低層湿原・湿地,水質浄化,流⼊⽔の希釈や礫間接触酸化法、植⽣施設等の浄化設備により流⼊する⽔を浄化する。
115,湿原・湿地,低層湿原・湿地,湿地の流入部への沈砂池の設置・維持管理,⽔路等の湿地の流⼊部に沈砂池を設置する。設置される沈砂池を適切に維持管理する。
116,湿原・湿地,低層湿原・湿地,堆積土砂の除去・掘削,泥炭地⼟壌の上に堆積している⼟壌を除去⼜は掘削する。
117,湿原・湿地,低層湿原・湿地,耕耘,浅い開放⽔⾯等で耕耘を⾏う。
118,湿原・湿地,低層湿原・湿地,生態系に影響を与える生物種の管理,対象種の除去や刈り取りを⾏う。
119,湿原・湿地,低層湿原・湿地,主伐/間伐,⾼⽊・壮齢樹化が著しい区画での伐採や、若齢樹の植⽣密度が⾼い区画での間引き、枝払い等を実施する。
120,海域,サンゴ（礁）,景観変化の把握,定期的にサンゴ群集やその周辺の海洋⽣物をモニタリングし、サンゴの⽩化やサンゴ⾷害⽣物等、サンゴの異変を早期発⾒する。
121,海域,サンゴ（礁）,清掃活動,海岸や海⾯・海底のごみの清掃を⾏う。
122,海域,サンゴ（礁）,ゾーニング等による保護措置の実施,観光客の受け⼊れ⼈数の制限を⾏う。ダイビング活動の制限を⾏う。⼲潮時のサンゴ礁・⾼緯度サンゴ群集域への⼊⽔制限（サンゴの踏みつけ防⽌のため）を⾏う。保護区域や利⽤ゾーンの設定と定期的な利⽤ゾーンの変更を⾏う。
123,海域,サンゴ（礁）,食害生物の対策,オニヒトデ、サンゴ⾷巻⾙等の⾷害⽣物を駆除する。オニヒトデの駆除⽅法としては、ダイバーによる陸揚げ駆除、酢酸などを注⼊する注射駆除、ハサミやハンマーで⽔中破砕駆除がある。
124,海域,サンゴ（礁）,藻食性魚類の乱獲防止,保護区を設定するなどして乱獲を防ぐ。
125,海域,サンゴ（礁）,サンゴの瓦礫の固定,底質を安定化させるため、⽯や網を⽤いてサンゴの⽡礫を固定する。
126,海域,サンゴ（礁）,着生場所の嵩上げ,コンクリートブロックやジャカゴの設置、投⽯等により、サンゴが成⻑できる適正な⽔深帯（⽡礫が衝突しない、または光量を確保できる⾼さ）まで着⽣場所を嵩上げする。
127,海域,サンゴ（礁）,浮泥の除去,わずかに浮泥が堆積している場合、⽑先の柔らかい筆などを使って、サンゴを傷つけないように浮泥を払拭する。⽔中ポンプで⽔流を発⽣させて払拭したり、吸引して当該海域の外に排⽔とともに流す。
128,海域,サンゴ（礁）,着生基盤の清掃,海藻類及び付着動物の群体ボヤ等を除去する。⼤型海藻は、成熟する前に海藻の付着器（仮根）ごと除去する。
129,海域,サンゴ（礁）,移植,折れた天然サンゴの枝や群体そのものを移植（植え付け）する。親群体から切り出した断⽚を⽔槽や海域で飼育してから移植する。サンゴの卵と精⼦から、⽔槽や海域で種苗を⽣産し、飼育してから移植する。
130,海域,サンゴ（礁）,赤土流出防止,降⾬時の裸地からの⾚⼟流出を防⽌する。河川からの⾚⼟流出を防⽌する。
131,海域,サンゴ（礁）,栄養塩の流出防止,下⽔処理場の整備、農地からの流出対策等の⽔質浄化を実施する。
132,海域,藻場・岩礁,景観変化の把握,定期的に藻場景観を観察し、変化や衰退が起こっていないかを確認する
133,海域,藻場・岩礁,清掃活動,海岸や海⾯・海底のごみの清掃を⾏う。
134,海域,藻場・岩礁,ゾーニング等による保護措置の実施,区域を設定し、海藻類の採捕制限等の保護措置を講じる。
135,海域,藻場・岩礁,着生基盤の清掃,競合海藻や付着⽣物に覆われた岩盤を清掃する。
136,海域,藻場・岩礁,食害生物の対策,ウニや植⾷性⿂類を除去する。⾷害⽣物の侵⼊を防ぐためのフェンスや⾦網を設置する。ウニを採捕し、海藻の⽣産⼒の⾼い他の藻場へ移動させる（ウニの密度管理）。
137,海域,藻場・岩礁,母藻又は種苗の投入,⺟藻⼜は種苗を投⼊する。
138,海域,藻場・岩礁,岩礁性藻場着生基盤の設置,海藻が着⽣しやすい藻場礁（⽯材やコンクリートブロック）を海底に設置する。
139,海域,藻場・岩礁,栄養塩類の供給,施肥によって栄養塩類を供給する。
140,海域,藻場・岩礁,ゾーニング等による保護措置の実施,区域を設定し、海草藻場において活動できる利⽤形態（海⽔浴、潮⼲狩り、漁業など）の制限や海草類・⽔産動植物の採捕制限等の保護措置を講じる。
141,海域,藻場・岩礁,食害生物の対策,アイゴなどの植⾷性⿂類などを除去する。⾷害⽣物の侵⼊を防ぐためのフェンスや⾦網を設置する。
142,海域,藻場・岩礁,海草類の移植又は播種,移植株の移植⼜は種⼦を播く。
143,海域,藻場・岩礁,着生場所の嵩上げ,潜堤や覆砂等の⼟⽊的⼿法により海底地盤を嵩上げすることで光条件を改善する。
144,海域,藻場・岩礁,カキ殻などの散布,カキ殻などを散布して、海草類の草体を安定させる、また底泥の巻き上げを抑制して濁りの発⽣（透明度の低下）を防⽌する。
145,海域,藻場・岩礁,流域における植林,河川流域に確保した植林地に苗⽊を植える。
146,干潟,干潟・マングローブ林,景観変化の把握,定期的に観察し、変化や衰退が起こっていないかを確認する。
147,干潟,干潟・マングローブ林,清掃活動,⼲潟やその周辺域のごみの清掃を⾏う。
148,干潟,干潟・マングローブ林,人工干潟の造成,港湾⼯事等で発⽣する浚渫⼟砂（浚渫粘性⼟、浚渫ヘドロなどを含む）等を活⽤して、⼈⼯⼲潟を造成する。
149,干潟,干潟・マングローブ林,耕耘,スコップ、耕耘機、桁網等を⽤いて耕うんを⾏う。
150,干潟,干潟・マングローブ林,砂泥の移動防止,⼟嚢、⽵や柴、ノリ網、磯やブロックなどを設置して、砂泥の移動を防⽌する。
151,干潟,干潟・マングローブ林,ゾーニング等による保護措置の実施,区域を設定し、⼆枚⾙類等の採捕制限等の保護措置を講じる。
152,干潟,干潟・マングローブ林,食害生物の対策,ツメタガイやサキグロタマツメタ等の⾷害⽣物を除去する。除去区域を設定し、⾷害⽣物の侵⼊を防ぐための防護資材を設置する。
153,干潟,干潟・マングローブ林,死殻の除去,採⾙漁業とあわせて、⽇常的に死殻を持ち帰る。また、突発的な⼤量斃死が起こった際に漁船等を⽤いて運搬する。
154,干潟,干潟・マングローブ林,移植放流(密度管理),稚⾙が多い海域から稚⾙を採捕し、少ない海域に放流する。
